hour,mcp,generation,demand_total,demand_inelastic,demand_elastic,elastic_base,elastic_flexibility_pct,social_welfare,total_cost,demand_utility,producer_surplus
1,9.0,1660.8,1660.8000000000004,1038.863475,621.9365250000002,736.9715250000002,-15.609151249093367,531480.63576,4596.0,521129.4357599999,10351.199999999999
2,8.0,1669.2,1669.1999999999998,976.841775,692.3582249999996,692.9732250000001,-0.0887480176453348,500381.1926700001,4596.0,491623.59267000004,8757.6
3,6.02,1590.2999999999997,1590.3,930.3254999999999,659.9745,659.9745,0.0,476840.8114,4094.5339999999974,471361.73939999996,5479.072
4,6.02,1563.795,1563.7950000000003,914.8200750000001,648.9749250000002,648.9749250000002,0.0,468961.90641,3957.8499,463505.71041000006,5456.195999999999
5,6.02,1563.795,1563.7950000000003,914.8200750000001,648.9749250000002,648.9749250000002,0.0,468908.93041,4010.8259000000003,463505.71041000006,5403.219999999999
6,6.02,1590.2999999999997,1590.3,930.3254999999999,659.9745,659.9745,0.0,476685.4954,4249.85,471361.73939999996,5323.755999999998
7,10.52,1767.19437,1767.19437,1147.4014499999998,619.7929200000001,813.96855,-23.85542168674698,585460.1952776,6020.3487724,572889.6592776,12570.535999999996
8,10.52,2053.76643,2053.76643,1333.46655,720.29988,945.96345,-23.85542168674698,678514.8131064002,8881.494843600001,665790.6851063999,12724.128
9,10.52,2268.695475,2268.695475,1473.015375,795.6801,1044.959625,-23.85542168674698,748445.166478,10887.964397,735466.454478,12978.712
10,10.52,2292.57648,2292.57648,1488.5208,804.05568,1055.9592,-23.85542168674698,756386.7986304,10939.312569600002,743208.2066304003,13178.591999999997
11,10.52,2292.57648,2292.57648,1488.5208,804.05568,1055.9592,-23.85542168674698,756418.3586304,10907.752569599998,743208.2066304003,13210.152000000002
12,10.52,2268.695475,2268.695475,1473.015375,795.6801,1044.959625,-23.85542168674698,748520.9104780001,10812.220397000001,735466.454478,13054.455999999998
13,10.89,2268.695475,2268.695475,1473.015375,795.6801,1044.959625,-23.85542168674698,748157.06315225,11176.067722750002,734627.0371522502,13530.025999999998
14,10.89,2268.695475,2268.695475,1473.015375,795.6801,1044.959625,-23.85542168674698,747636.52115225,11696.609722749998,734627.0371522502,13009.484000000002
15,10.89,2220.933465,2220.933465,1442.004525,778.9289400000001,1022.9604750000001,-23.85542168674698,731839.6327911501,11507.537433850002,719161.20479115,12678.427999999998
16,10.89,2220.933465,2220.933465,1442.004525,778.9289400000001,1022.9604750000001,-23.85542168674698,731589.1627911502,11758.007433849998,719161.20479115,12427.958000000002
17,10.89,2364.219495,2364.2194950000003,1535.037075,829.1824200000001,1088.957925,-23.85542168674697,777771.03787445,13534.014300549996,765558.70187445,12212.336000000003
18,10.89,2388.1005,2388.1005,1550.5425000000002,837.5580000000001,1099.9575,-23.85542168674698,785606.320055,13691.712445000003,773291.6180550002,12314.702
19,10.89,2388.1005,2388.1005,1550.5425000000002,837.5580000000001,1099.9575,-23.85542168674698,785926.486055,13371.546445,773291.6180550002,12634.868000000002
20,10.89,2292.57648,2292.57648,1488.5208,804.05568,1055.9592,-23.85542168674698,755511.0073328,11815.103867199998,742359.9533328,13151.054000000006
21,10.52,2173.171455,2173.171455,1410.993675,762.1777800000001,1000.961325,-23.85542168674698,717253.0298684002,10108.179706600004,704499.4458683999,12753.583999999999
22,10.52,1982.1234149999998,1982.123415,1286.9502750000001,695.1731400000001,912.9647249999999,-23.85542168674697,655434.7326492001,7982.634325799997,642565.4286492,12869.304
23,10.52,1743.313365,1743.313365,1131.896025,611.41734,802.968975,-23.855421686746993,577987.7551252,5499.808599799999,565147.9071252,12839.848000000002
24,6.02,1669.8150000000003,1669.815,976.841775,692.9732250000001,692.9732250000001,0.0,500389.63437000004,4592.4783000000025,494929.82637,5459.807999999999
