load,node,type,bid_price,served_MW,utility_EUR
1,1,elastic,8.0,0.0,-0.0
2,2,inelastic,500.0,85.6112,41904.9457
3,3,inelastic,500.0,158.6324,77647.3994
4,4,inelastic,500.0,65.4674,32044.9585
5,5,inelastic,500.0,62.9494,30812.4601
6,6,inelastic,500.0,120.8628,59159.9233
7,7,elastic,30.0,110.7909,2158.2067
8,8,inelastic,500.0,151.0785,73949.9042
9,9,elastic,9.0,0.0,-0.0
10,10,inelastic,500.0,171.2223,83809.8914
11,13,elastic,28.0,234.1717,4093.3209
12,14,elastic,25.0,171.2223,2479.2989
13,15,elastic,31.0,279.4952,5724.0622
14,16,inelastic,500.0,88.1291,43137.4441
15,18,inelastic,500.0,294.6031,144202.3132
16,19,inelastic,500.0,161.1504,78879.8978
17,20,inelastic,500.0,113.3089,55462.4281
