hour,MCP_EUR_MWh,served_MW,conv_gen_MW,wind_MW,batt_charge_MW,batt_discharge_MW,batt_SOC_MWh
1,9.0,1660.8,1660.8,560.8,0.0,0.0,0.0
2,8.0,1669.2,1669.2,569.2,0.0,0.0,0.0
3,6.02,1590.3,1640.3,573.6,50.0,0.0,46.5
4,6.02,1563.795,1571.3219,569.8,7.5269,0.0,53.5
5,6.02,1563.795,1613.795,561.0,50.0,0.0,100.0
6,6.02,1590.3,1590.3,547.8,0.0,0.0,100.0
7,10.52,1767.1944,1767.1944,531.8,0.0,0.0,100.0
8,10.52,2192.8117,2192.8117,546.4,0.0,0.0,100.0
9,10.89,2422.292,2422.292,570.6,0.0,0.0,100.0
10,10.89,2447.7898,2447.7898,589.6,0.0,0.0,100.0
11,10.52,2292.5765,2292.5765,592.6,0.0,0.0,100.0
12,10.52,2268.6955,2268.6955,577.8,0.0,0.0,100.0
13,10.89,2268.6955,2268.6955,543.4,0.0,0.0,100.0
14,10.89,2268.6955,2268.6955,495.6,0.0,0.0,100.0
15,10.89,2220.9335,2220.9335,465.2,0.0,0.0,100.0
16,10.89,2220.9335,2220.9335,442.2,0.0,0.0,100.0
17,11.7,2524.2832,2492.4,422.4,0.0,31.8832,66.4387
18,11.7,2549.781,2501.8,431.8,0.0,47.981,15.9324
19,11.7,2546.3358,2531.2,461.2,0.0,15.1358,0.0
20,10.89,2447.7898,2447.7898,508.6,0.0,0.0,0.0
21,10.52,2173.1715,2173.1715,549.2,0.0,0.0,0.0
22,10.52,1982.1234,1982.1234,560.2,0.0,0.0,0.0
23,10.52,1743.3134,1743.3134,557.4,0.0,0.0,0.0
24,6.02,1669.815,1669.815,570.4,0.0,0.0,0.0
