id,is_bsp,capacity_MW,r_up_MW,r_down_MW,dispatch_no_rsv,dispatch_with_rsv,profit_no_rsv,profit_with_rsv,reserve_revenue
1,True,152.0,40.0,40.0,0.0,40.0,-0.0,34.3,146.3
2,False,152.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
3,False,350.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
4,True,591.0,180.0,91.7975,0.0,91.7975,-0.0,-389.5659,566.0461
5,True,60.0,37.6962,0.0,0.0,0.0,-0.0,98.4249,98.4249
6,True,155.0,30.0,30.0,133.0955,91.298,0.0,109.725,109.725
7,True,155.0,30.0,30.0,155.0,125.0,0.0,109.725,109.725
8,False,400.0,0.0,0.0,400.0,400.0,1800.0,1800.0,0.0
9,False,400.0,0.0,0.0,400.0,400.0,2020.0,2020.0,0.0
10,False,300.0,0.0,0.0,300.0,300.0,3156.0,3156.0,0.0
11,True,310.0,60.0,60.0,310.0,250.0,0.0,219.45,219.45
12,False,350.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
wind_0,False,95.8,0.0,0.0,95.8,95.8,1007.816,1007.816,0.0
wind_1,False,133.0,0.0,0.0,133.0,133.0,1399.16,1399.16,0.0
wind_2,False,146.8,0.0,0.0,146.8,146.8,1544.336,1544.336,0.0
wind_3,False,39.4,0.0,0.0,39.4,39.4,414.488,414.488,0.0
wind_4,False,33.6,0.0,0.0,33.6,33.6,353.472,353.472,0.0
wind_5,False,122.0,0.0,0.0,122.0,122.0,1283.44,1283.44,0.0
