id,is_bsp,capacity_MW,r_up_MW,r_down_MW,da_cap_effective,dispatch_no_rsv,dispatch_with_rsv,profit_no_rsv,profit_with_rsv,reserve_revenue
1,True,152.0,0.0,0.0,152.0,0.0,14.6485,0.0,0.0,0.0
2,False,152.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0
3,False,350.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0
4,True,591.0,0.0,0.0,591.0,0.0,0.0,0.0,0.0,0.0
5,True,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
6,True,155.0,0.0,0.0,155.0,137.9765,155.0,0.0,434.0,0.0
7,False,155.0,0.0,0.0,155.0,155.0,155.0,0.0,434.0,0.0
8,True,400.0,0.0,236.11999999999998,400.0,400.0,400.0,1800.0,2991.0721,71.0721
9,True,400.0,381.67199999999997,18.32800000000003,18.32800000000003,400.0,18.328,2020.0,368.6621,224.7873
10,False,300.0,0.0,0.0,300.0,300.0,300.0,3156.0,3996.0,0.0
11,False,310.0,0.0,0.0,310.0,310.0,310.0,0.0,868.0,0.0
12,False,350.0,0.0,0.0,350.0,0.0,350.0,0.0,850.5,0.0
wind_0,False,102.60000000000001,0.0,0.0,102.60000000000001,102.6,102.6,1079.352,1366.632,0.0
wind_1,False,134.60000000000002,0.0,0.0,134.60000000000002,134.6,134.6,1415.992,1792.872,0.0
wind_2,False,149.8,0.0,0.0,149.8,149.8,149.8,1575.896,1995.336,0.0
wind_3,False,42.6,0.0,0.0,42.6,42.6,42.6,448.152,567.432,0.0
wind_4,False,42.8,0.0,0.0,42.8,42.8,42.8,450.256,570.096,0.0
wind_5,False,117.19999999999999,0.0,0.0,117.19999999999999,117.2,117.2,1232.944,1561.104,0.0
